indice,dfbeta_constante,"dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN1]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN2]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN4]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN5]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN6]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN8]","dfbeta_C(tamanho_tumor_tnm, Treatment(reference='OC11'))[T.OC12]","dfbeta_C(tamanho_tumor_tnm, Treatment(reference='OC11'))[T.OC13]","dfbeta_C(tamanho_tumor_tnm, Treatment(reference='OC11'))[T.OC14]",dfbeta_dispneia_antes_cirurgia,dfbeta_diabetes_mellitus_tipo_2,dfbeta_tabagismo,max_abs_dfbeta,dfbeta_maior_2_raiz_n
21,0.008470355737644557,1.0599367011490835e-07,0.000888170621804949,-0.06287423884091597,-0.0012588574462212873,5.344654455359292e-09,-0.0012649461521340802,-0.016957502221070606,-0.002570568856170044,-0.006257374041688371,0.005745163485601262,0.012944339091402112,-0.0047310546921930765,0.06287423884091597,False
22,-0.0006598344461822055,2.057957811320711e-07,0.007967524000207539,0.008159252054853856,0.005484591779167241,2.5327877221563187e-07,0.0016694375611358198,-0.013587629164497553,-0.0012319157970348377,-0.0006304069276494443,0.007851558520142026,0.006690931053631271,-0.002741772466450218,0.013587629164497553,False
23,-0.010633603513354786,4.1262102632594515e-08,0.004073836123725326,0.005285916815020021,0.004978989736403544,2.730473356988941e-07,0.0019946261337406034,0.017429216195524722,0.009153257989897037,0.009507729066783191,0.0026907651400368887,0.004200508968125691,-0.0019806684093276817,0.017429216195524722,False
24,0.0661373377074287,6.826549766871571e-07,0.010317261879148545,0.003317040965160502,-0.007047407620797166,-6.059897354075326e-07,1.478989827868067,-0.17619993486654592,-0.06524864376702136,-0.0647750004992754,0.01878017176268175,0.0035930558875666464,0.00021547481430930153,1.478989827868067,True
25,0.07348748755293788,4.591876237078405e-07,0.0012801466286068537,0.00046186092746808565,-0.2954471979857902,-1.5713192241898555e-07,-0.018435648922533555,-0.07631044658216225,-0.00954207615291555,-0.027105169545422414,0.016419377106232154,0.02808379813946635,-0.059554801901095654,0.2954471979857902,True
26,-0.010633603513354786,4.1262102632594515e-08,0.004073836123725326,0.005285916815020021,0.004978989736403544,2.730473356988941e-07,0.0019946261337406034,0.017429216195524722,0.009153257989897037,0.009507729066783191,0.0026907651400368887,0.004200508968125691,-0.0019806684093276817,0.017429216195524722,False
27,0.11491524535377086,-4.459113640904536e-07,-0.04402513946481117,-0.057123855234471686,-0.05380695513558877,-2.9507684328858944e-06,-0.021555529248384653,-0.18835408456946995,-0.0989174447189384,-0.10274814338285125,-0.02907856549930366,-0.045394067784890677,0.021404690887383403,0.18835408456946995,True
28,-0.010633603513354786,4.1262102632594515e-08,0.004073836123725326,0.005285916815020021,0.004978989736403544,2.730473356988941e-07,0.0019946261337406034,0.017429216195524722,0.009153257989897037,0.009507729066783191,0.0026907651400368887,0.004200508968125691,-0.0019806684093276817,0.017429216195524722,False
29,-6.882546496852911e-12,-2.839741764465032e-16,-6.544948546265505e-12,-2.242151439708246e-12,-1.0785008686109125e-12,-2.3903878889545534e-05,-7.4753174163399e-12,9.44776800153656e-11,3.533502834391889e-11,3.427506448345629e-11,-1.56278832559478e-11,-5.584308356658373e-12,-3.346394719156582e-11,2.3903878889545534e-05,False
30,-0.0022137324515122594,-4.113503525419209e-07,-0.12546114727980523,-0.013206140162779925,-0.009837506224355969,-6.575322280968508e-07,-8.158693572533486e-05,0.008343656994108543,0.014010797140532672,0.3327694445888803,-0.0006448524972170468,-0.05718801876360905,0.021645973916289907,0.3327694445888803,True
